name2	gene_list_1	gene_list_2	gene_list_3	Common_check
LRP10	2	1	0	Common_low
LRPAP1	3	3	0	Common_low
LRRC14	2	1	0	Common_low
LRRC24	2	1	0	Common_low
LRRC39	1	0	0	Common_low
LRRC45	6	6	1	Common_low
LRRC46	0	1	0	Common_low
LRRC7	2	2	0	Common_low
LRRC8A	2	3	0	Common_low
LRRIQ1	5	4	0	Common_low
LRRIQ3	0	0	1	Common_low
LRRK2	1	1	0	Common_low
LRRTM3	1	1	1	Common_low
LSM2	1	0	1	Common_low
LTA	1	0	1	Common_low
LTF	0	1	0	Common_low
LTN1	1	2	0	Common_low
LUZP2	2	3	2	Common_low
LY6G5B	1	0	1	Common_low
LY6G6C	1	0	1	Common_low
LY6G6E	1	0	1	Common_low
LY6G6F	1	0	1	Common_low
LYPLA1	4	3	0	Common_low
LYPLA2	1	2	0	Common_low
LYRM4	1	1	0	Common_low
LYRM7	0	0	1	Common_low
LYST	1	0	0	Common_low
LZTS2	0	0	2	Common_low
MACROD1	0	1	0	Common_low
MAD1L1	1	1	0	Common_low
MAEA	1	1	0	Common_low
MAF1	4	2	0	Common_low
MAFG	3	4	0	Common_low
MAMDC4	6	6	3	Common_low
MAMSTR	1	1	0	Common_low
MAP2K2	5	1	0	Common_low
MAP3K1	0	1	0	Common_low
MAP3K8	1	1	0	Common_low
MAP9	0	0	2	Common_low
MAPK11	1	4	0	Common_low
MAPK12	1	4	0	Common_low
MAPK15	1	1	0	Common_low
MAPK8IP3	5	8	1	Common_low
MARCH5	1	0	0	Common_low
MARK1	1	0	0	Common_low
MBD3	3	0	0	Common_low
MBOAT7	3	3	0	Common_low
MCAT	1	1	0	Common_low
MCRIP1	2	4	0	Common_low
MCRIP2	2	2	0	Common_low
ME2	1	1	0	Common_low
MEA1	0	1	0	Common_low
MED15	1	0	0	Common_low
MED22	1	1	2	Common_low
MEI1	1	1	0	Common_low
MEPCE	1	1	0	Common_low
METRN	2	2	0	Common_low
METTL22	0	1	0	Common_low
METTL23	1	2	0	Common_low
METTL26	2	2	0	Common_low
METTL5	0	1	0	Common_low
MFSD11	1	2	0	Common_low
MFSD14A	1	0	0	Common_low
MFSD3	2	1	0	Common_low
MGAT4C	1	2	0	Common_low
MGC126945	0	0	1	Common_low
MGC134040	0	2	0	Common_low
MGC137055	1	0	0	Common_low
MGC138914	1	0	0	Common_low
MGC139164	0	1	0	Common_low
MGC157405	0	0	1	Common_low
MGC157408	0	0	1	Common_low
MGLL	2	2	0	Common_low
MIC1	1	0	1	Common_low
MIC2	0	0	1	Common_low
MICALL2	1	0	1	Common_low
MIER3	3	2	0	Common_low
MIF	2	2	0	Common_low
MIGA2	1	2	0	Common_low
MIR1-1	1	0	0	Common_low
MIR10164	3	3	2	Common_low
MIR10167	0	0	1	Common_low
MIR10179	3	3	0	Common_low
MIR11972	1	0	0	Common_low
MIR11977	0	0	10	Common_low
MIR11980	4	5	0	Common_low
MIR11982	1	1	0	Common_low
MIR11998	1	1	0	Common_low
MIR12014	2	2	1	Common_low
MIR12015	1	2	0	Common_low
MIR12018	0	0	1	Common_low
MIR12019	2	2	0	Common_low
MIR12020	0	1	0	Common_low
MIR12025	1	1	0	Common_low
MIR12026-1	1	0	0	Common_low
MIR12029	7	7	0	Common_low
MIR12045	1	1	0	Common_low
MIR12056	1	2	0	Common_low
MIR1225	3	3	1	Common_low
MIR124B	5	4	0	Common_low
MIR1256	2	1	0	Common_low
MIR126	3	5	1	Common_low
MIR1281	1	1	0	Common_low
MIR1306	4	3	0	Common_low
MIR130B	1	0	0	Common_low
MIR133A-1	1	0	0	Common_low
MIR133C	1	0	0	Common_low
MIR1388	1	0	0	Common_low
MIR148C	3	1	0	Common_low
MIR151	1	1	0	Common_low
MIR152	3	1	0	Common_low
MIR1777A	3	3	0	Common_low
MIR1839	5	2	0	Common_low
MIR1842	2	2	1	Common_low
MIR185	4	3	0	Common_low
MIR193A-2	1	1	0	Common_low
MIR200A	1	1	0	Common_low
MIR200B	1	1	0	Common_low
MIR210	0	1	0	Common_low
MIR219-1	0	1	0	Common_low
MIR219-2	1	1	0	Common_low
MIR219B	0	1	0	Common_low
MIR2284Y-5	1	1	0	Common_low
MIR2284Z-1	1	1	0	Common_low
MIR2284Z-2	0	1	0	Common_low
MIR2284Z-6	0	0	1	Common_low
MIR2285AG	0	0	1	Common_low
MIR2285AL	1	1	0	Common_low
MIR2285BL	0	0	1	Common_low
MIR2285BS	2	2	0	Common_low
MIR2285CC	1	0	0	Common_low
MIR2285DK	0	0	1	Common_low
MIR2285DL-2	1	0	0	Common_low
MIR2285J-1	2	2	1	Common_low
MIR2285M-1	0	0	1	Common_low
MIR2285M-5	1	1	0	Common_low
MIR2285W	0	0	1	Common_low
MIR2285X	1	1	0	Common_low
MIR2285Y	0	0	1	Common_low
MIR2293	1	1	0	Common_low
MIR2307	1	1	0	Common_low
MIR2308	2	1	0	Common_low
MIR2309	3	2	0	Common_low
MIR2317	1	1	0	Common_low
MIR2345	0	2	0	Common_low
MIR2346	8	8	1	Common_low
MIR2347	2	4	0	Common_low
MIR2348	2	2	0	Common_low
MIR2353	19	18	21	High_and_Low
MIR2360	1	1	0	Common_low
MIR2361	3	3	0	Common_low
MIR2376	1	1	0	Common_low
MIR2382	2	2	1	Common_low
MIR2385	0	1	0	Common_low
MIR2389	2	2	0	Common_low
MIR23B	1	1	0	Common_low
MIR24-1	1	1	0	Common_low
MIR2410	0	1	0	Common_low
MIR2423	1	1	0	Common_low
MIR2439	1	1	0	Common_low
MIR2441	1	1	0	Common_low
MIR2449	1	1	0	Common_low
MIR2450A	2	0	0	Common_low
MIR2450B	2	0	0	Common_low
MIR2450C	2	0	0	Common_low
MIR2450D	2	0	0	Common_low
MIR2475	1	1	0	Common_low
MIR2482	1	1	0	Common_low
MIR26B	0	1	0	Common_low
MIR27B	1	1	0	Common_low
MIR2892	0	1	0	Common_low
MIR2893	1	2	0	Common_low
MIR296	1	1	0	Common_low
MIR301B	1	0	0	Common_low
MIR3065	2	1	0	Common_low
MIR3141	0	8	18	Common_low
MIR32	0	1	0	Common_low
MIR324	2	2	0	Common_low
MIR338	2	1	0	Common_low
MIR339A	2	2	0	Common_low
MIR33A	1	1	0	Common_low
MIR33B	2	1	0	Common_low
MIR345	1	1	0	Common_low
MIR378D	1	1	0	Common_low
MIR383	1	0	1	Common_low
MIR429	1	1	0	Common_low
MIR551A	1	2	0	Common_low
MIR6123	1	1	0	Common_low
MIR6501	0	1	0	Common_low
MIR6517	2	1	0	Common_low
MIR6531	3	2	1	Common_low
MIR7859	1	1	0	Common_low
MIR7865	1	1	0	Common_low
MIR8549	2	2	1	Common_low
MKLN1	2	1	0	Common_low
MKX	0	1	0	Common_low
MLPH	1	0	0	Common_low
MLST8	2	2	1	Common_low
MMACHC	2	2	0	Common_low
MMP14	1	0	0	Common_low
MMP15	0	1	0	Common_low
MMP23	1	0	0	Common_low
MOB2	1	1	0	Common_low
MOSPD3	5	6	0	Common_low
MPDU1	5	1	1	Common_low
MPIG6B	1	0	1	Common_low
MPV17L2	1	1	0	Common_low
MRGBP	1	0	0	Common_low
MRGPRF	2	0	0	Common_low
MRM2	1	1	0	Common_low
MROH1	5	4	0	Common_low
MRPL10	0	1	0	Common_low
MRPL12	1	1	0	Common_low
MRPL15	4	3	0	Common_low
MRPL20	1	0	0	Common_low
MRPL4	1	0	0	Common_low
MRPL41	0	0	1	Common_low
MRPL58	2	2	0	Common_low
MRPS2	1	1	1	Common_low
MRPS34	5	8	1	Common_low
MRPS36	1	0	1	Common_low
MRTO4	0	1	0	Common_low
MSANTD3	0	0	1	Common_low
MSH3	0	1	0	Common_low
MSH4	1	1	0	Common_low
MSH5	1	0	1	Common_low
MSI2	1	1	0	Common_low
MSMB	1	1	0	Common_low
MSR1	0	0	2	Common_low
MSRB1	4	1	1	Common_low
MSTN	1	0	0	Common_low
MTA1	3	0	0	Common_low
MTDH	0	1	0	Common_low
MTURN	31	31	26	Common_high
MUS81	2	2	0	Common_low
MUSTN1	1	1	0	Common_low
MXD4	1	1	0	Common_low
MXRA8	1	0	0	Common_low
MYADML2	3	4	0	Common_low
MYH9	1	1	0	Common_low
MYLK2	1	0	0	Common_low
MYLPF	1	2	0	Common_low
MYMK	0	0	1	Common_low
MYO6	1	1	0	Common_low
MZF1	7	6	0	Common_low
MZT2B	1	0	0	Common_low
N6AMT1	1	1	0	Common_low
NACC2	0	0	1	Common_low
NADK	1	0	0	Common_low
NAIF1	1	1	0	Common_low
NAPRT	1	1	0	Common_low
NASP	3	2	0	Common_low
NAT14	2	2	0	Common_low
NAT9	2	0	0	Common_low
NAV3	0	0	1	Common_low
NCAPG	1	3	0	Common_low
NCLN	1	0	0	Common_low
NCOA4	2	4	0	Common_low
NCR3	1	0	1	Common_low
NDOR1	3	2	1	Common_low
NDST4	4	4	2	Common_low
NDUFA3	1	0	0	Common_low
NDUFB10	4	1	1	Common_low
NDUFS4	1	1	0	Common_low
NDUFS7	3	2	0	Common_low
NDUFV1	2	0	0	Common_low
NDUFV2	4	4	0	Common_low
NEGR1	1	1	1	Common_low
NEK4	1	1	0	Common_low
NEMF	2	1	0	Common_low
NEU1	2	0	1	Common_low
NEURL4	5	5	1	Common_low
NF1	0	2	0	Common_low
NFE2L1	2	1	0	Common_low
NFIC	1	0	0	Common_low
NFKBIL1	1	0	1	Common_low
NICN1	1	1	0	Common_low
NIPBL	1	1	0	Common_low
NIT2	1	0	0	Common_low
NLGN1	0	0	1	Common_low
NLGN2	5	5	1	Common_low
NLK	1	0	0	Common_low
NLRC4	1	0	0	Common_low
NME3	5	8	1	Common_low
NOL10	1	1	0	Common_low
NOL11	1	1	0	Common_low
NOSTRIN	15	13	16	Common_low
NOXA1	6	11	1	Common_low
NPB	2	4	0	Common_low
NPDC1	3	6	2	Common_low
NPEPL1	0	0	1	Common_low
NPHS2	0	0	3	Common_low
NPSR1	1	1	0	Common_low
NPTN	2	2	0	Common_low
NPY2R	0	0	1	Common_low
NQO2	1	0	0	Common_low
NR1H2	0	1	0	Common_low
NRBF2	1	1	0	Common_low
NRBP2	1	1	0	Common_low
NRDE2	1	1	0	Common_low
NRXN1	1	0	0	Common_low
NSA2	0	1	0	Common_low
NSG1	0	6	0	Common_low
NT5C	3	4	0	Common_low
NTHL1	4	3	1	Common_low
NTN5	1	1	0	Common_low
NTSR1	1	0	0	Common_low
NUAK2	0	1	0	Common_low
NUBP2	5	8	1	Common_low
NUDT14	11	1	0	Common_low
NUDT22	0	1	0	Common_low
NUDT8	2	0	0	Common_low
NUMA1	1	1	0	Common_low
NUP155	1	1	0	Common_low
NUP188	1	2	0	Common_low
NUSAP1	1	0	0	Common_low
NXPH1	2	2	2	Common_low
ODF2	0	2	0	Common_low
OGDH	2	1	0	Common_low
OGFR	1	0	0	Common_low
OIP5	1	0	0	Common_low
OLFM1	0	0	1	Common_low
OLFM2	0	0	1	Common_low
OLFM3	1	1	1	Common_low
OMG	1	1	0	Common_low
OPALIN	1	0	0	Common_low
OPLAH	3	1	0	Common_low
OR12D2	2	0	0	Common_low
OR12D2E	0	1	1	Common_low
ORC5	2	2	1	Common_low
OSBPL7	0	1	0	Common_low
OTOP2	2	2	0	Common_low
OTOP3	2	2	0	Common_low
OVOL1	2	2	0	Common_low
OXLD1	1	1	0	Common_low
OXR1	0	1	0	Common_low
P4HA1	1	1	0	Common_low
P4HB	2	4	0	Common_low
PACRG	1	1	0	Common_low
PACSIN1	1	0	0	Common_low
PAEP	5	5	0	Common_low
PAFAH1B1	3	1	0	Common_low
PAG1	0	0	1	Common_low
PAG14	0	0	2	Common_low
PAG16	0	0	1	Common_low
PAG17	0	0	1	Common_low
PAG19	1	1	1	Common_low
PAG20	0	0	1	Common_low
PAG21	0	0	1	Common_low
PAG4	0	0	1	Common_low
PAG9	0	0	1	Common_low
PAGR1	0	1	0	Common_low
PAK2	3	1	0	Common_low
PAQR4	7	5	0	Common_low
PARG	0	1	0	Common_low
PARM1	1	1	1	Common_low
PARN	1	1	0	Common_low
PAX3	1	1	0	Common_low
PAXX	6	6	3	Common_low
PBRM1	9	9	0	Common_low
PCBP4	1	1	0	Common_low
PCDH18	1	1	0	Common_low
PCDH20	1	0	0	Common_low
PCDH7	1	3	0	Common_low
PCDHA13	1	1	0	Common_low
PCGF3	1	1	0	Common_low
PCOLCE	6	6	0	Common_low
PCYT2	2	4	0	Common_low
PDCD1	9	9	0	Common_low
PDCD6	1	1	0	Common_low
PDE11A	1	0	0	Common_low
PDE4C	1	0	0	Common_low
PDIK1L	1	0	0	Common_low
PDXK	1	0	0	Common_low
PEBP1	3	0	0	Common_low
PEX6	4	4	0	Common_low
PFDN6	1	1	0	Common_low
PGLS	1	0	0	Common_low
PGP	2	2	1	Common_low
PGS1	1	1	0	Common_low
PHAX	0	0	1	Common_low
PHF23	3	3	2	Common_low
PHF5A	1	1	0	Common_low
PHOSPHO2	0	1	0	Common_low
PHPT1	6	6	3	Common_low
PHRF1	0	1	0	Common_low
PHYHD1	1	2	0	Common_low
PI4KA	1	0	0	Common_low
PIAS4	5	1	0	Common_low
PICALM	1	0	0	Common_low
PIDD1	1	0	0	Common_low
PIK3C2G	2	2	2	Common_low
PIK3C3	0	1	0	Common_low
PIK3R2	1	1	0	Common_low
PILRA	1	1	0	Common_low
PIP5KL1	2	2	0	Common_low
PITHD1	0	1	0	Common_low
PITPNM2	1	2	0	Common_low
PJA2	0	1	0	Common_low
PKDCC	1	1	0	Common_low
PKN1	1	1	0	Common_low
PKN2	4	4	0	Common_low
PKN3	1	2	0	Common_low
PKP1	0	2	0	Common_low
PKP2	1	1	0	Common_low
PLA2R1	4	1	0	Common_low
PLCB1	0	0	1	Common_low
PLCB3	0	1	0	Common_low
PLCL2	2	2	0	Common_low
PLCZ1	0	0	2	Common_low
PLEKHA8	34	37	26	Common_high
PLPPR2	2	1	0	Common_low
PLSCR3	5	5	1	Common_low
PLXDC2	4	4	0	Common_low
PLXNB2	1	4	0	Common_low
PMM1	1	1	0	Common_low
PMPCA	4	5	1	Common_low
PNISR	1	0	0	Common_low
PNKD	0	2	0	Common_low
PNPLA2	5	0	0	Common_low
PNPO	0	1	0	Common_low
POGZ	0	1	0	Common_low
POLD1	0	1	0	Common_low
POLD4	4	3	0	Common_low
POLE2	2	1	0	Common_low
POLK	1	1	0	Common_low
POLL	1	1	0	Common_low
POLR2A	6	3	1	Common_low
POLR2E	3	1	0	Common_low
POLR2K	6	0	0	Common_low
POLR2L	5	0	0	Common_low
POLR3A	1	1	0	Common_low
POLR3GL	1	0	0	Common_low
POLR3H	1	1	0	Common_low
POP7	1	1	0	Common_low
POU4F2	2	0	0	Common_low
POU5F1	2	1	1	Common_low
PPARA	3	0	0	Common_low
PPARG-TSEN2	0	0	2	Common_low
PPDPF	5	4	0	Common_low
PPIL2	1	0	0	Common_low
PPIP5K2	0	2	0	Common_low
PPM1B	1	0	0	Common_low
PPM1K	0	0	3	Common_low
PPP1CA	4	3	0	Common_low
PPP1R13L	1	0	0	Common_low
PPP1R16A	2	1	0	Common_low
PPP1R27	2	4	0	Common_low
PPP1R35	1	1	0	Common_low
PPP1R9A	2	0	0	Common_low
PPP2R5D	3	3	0	Common_low
PPP3CA	2	2	0	Common_low
PPP6R1	2	0	0	Common_low
PPP6R3	6	5	0	Common_low
PRAME	0	2	3	Common_low
PRDM8	0	0	1	Common_low
PRDX1	3	2	0	Common_low
PRDX2	1	1	0	Common_low
PRKAA1	2	1	0	Common_low
PRKACA	0	1	0	Common_low
PRKAR1A	1	3	0	Common_low
PRKCSH	2	1	0	Common_low
PRKN	2	1	0	Common_low
PRMT1	2	2	0	Common_low
PRMT5	2	1	0	Common_low
PRODH	5	0	0	Common_low
PROX1	1	1	0	Common_low
PRPF31	1	0	0	Common_low
PRPF6	1	0	0	Common_low
PRPSAP1	2	2	0	Common_low
PRR14	1	1	0	Common_low
PRR15L	0	1	0	Common_low
PRRC2A	1	0	1	Common_low
PSMB11	4	1	0	Common_low
PSMB4	0	1	0	Common_low
PSMB5	4	1	0	Common_low
PSMC1	1	1	0	Common_low
PSMC6	3	3	0	Common_low
PSORS1C2	3	1	2	Common_low
PTBP1	2	0	0	Common_low
PTBP2	0	2	0	Common_low
PTCRA	4	4	0	Common_low
PTGDS	7	6	3	Common_low
PTGER1	1	1	0	Common_low
PTGR2	1	1	0	Common_low
PTK2	1	1	0	Common_low
PTK6	5	5	0	Common_low
PTPA	1	2	0	Common_low
PTPN7	1	1	0	Common_low
PTPRC	1	0	0	Common_low
PTPRCAP	4	3	0	Common_low
PTPRK	1	1	0	Common_low
PUF60	4	4	0	Common_low
PWWP2B	0	2	0	Common_low
PWWP3A	1	2	0	Common_low
PYCR1	3	4	0	Common_low
PYCR3	2	2	0	Common_low
PYGB	1	0	0	Common_low
QPRT	1	2	0	Common_low
QRFPR	1	1	0	Common_low
QTRT1	1	1	0	Common_low
R3HDM2	1	2	0	Common_low
R3HDM4	1	0	0	Common_low
RAB10	3	1	0	Common_low
RAB26	3	3	1	Common_low
RAB37	2	0	0	Common_low
RAB3A	1	1	0	Common_low
RAB3D	1	1	0	Common_low
RAB40C	2	2	0	Common_low
RAB6A	1	1	0	Common_low
RABL6	6	7	3	Common_low
RAC3	4	4	0	Common_low
RAD17	0	0	1	Common_low
RAD18	2	3	0	Common_low
RAD50	1	1	1	Common_low
RAD9A	4	3	0	Common_low
RALYL	5	6	0	Common_low
RAN	0	1	0	Common_low
RANBP1	4	6	0	Common_low
RANGAP1	1	1	0	Common_low
RAP1A	1	1	0	Common_low
RAPGEF2	1	0	0	Common_low
RASA1	1	1	0	Common_low
RASGEF1C	2	2	0	Common_low
RASSF4	1	0	0	Common_low
RASSF7	0	1	0	Common_low
RAVER1	2	0	0	Common_low
RBL1	3	1	0	Common_low
RBM14	1	1	0	Common_low
RBM23	2	1	0	Common_low
RBM46	0	0	1	Common_low
RDX	3	3	0	Common_low
RECQL4	2	1	0	Common_low
REEP6	3	1	0	Common_low
REG3A	1	1	0	Common_low
REG3G	1	0	0	Common_low
REM2	2	1	0	Common_low
RERGL	3	3	2	Common_low
RFC5	6	6	0	Common_low
RFX2	2	2	0	Common_low
RGL2	1	1	0	Common_low
RGL3	2	1	0	Common_low
RGS17	0	1	0	Common_low
RGS2	2	1	1	Common_low
RGS9	1	0	0	Common_low
RHOA	1	1	0	Common_low
RHOBTB2	0	0	1	Common_low
RHOT1	1	1	0	Common_low
RHOT2	2	2	0	Common_low
RICTOR	2	1	0	Common_low
RING1	1	1	0	Common_low
RIOK2	1	0	0	Common_low
RIPK1	1	0	0	Common_low
RLF	3	3	0	Common_low
RMND5A	1	0	0	Common_low
RNASEH2A	1	1	0	Common_low
RNASEH2C	1	1	0	Common_low
RNF103	1	1	0	Common_low
RNF11	2	2	0	Common_low
RNF121	1	1	0	Common_low
RNF151	4	1	1	Common_low
RNF157	3	3	0	Common_low
RNF167	0	2	1	Common_low
RNF168	1	1	0	Common_low
RNF207	0	0	2	Common_low
RNF216	1	1	0	Common_low
RNF4	2	0	0	Common_low
RNPC3	1	1	1	Common_low
RNPEP	1	0	0	Common_low
RNPS1	1	1	0	Common_low
ROBO1	5	1	1	Common_low
RPL13	3	2	0	Common_low
RPL18	1	1	0	Common_low
RPL28	1	1	0	Common_low
RPL29	1	1	0	Common_low
RPL35A	2	1	0	Common_low
RPL37	1	0	0	Common_low
RPL3L	4	1	1	Common_low
RPL7A	1	1	2	Common_low
RPLP2	1	0	0	Common_low
RPN1	4	3	0	Common_low
RPS15	3	1	0	Common_low
RPS18	1	1	0	Common_low
RPS2	4	1	1	Common_low
RPS5	2	1	0	Common_low
RPS6KB2	4	3	0	Common_low
RPS9	1	2	0	Common_low
RRP36	0	1	0	Common_low
RRP9	1	1	0	Common_low
RSPH14	4	1	0	Common_low
RSRC2	2	2	0	Common_low
RTEL1	5	10	0	Common_low
RUBCN	1	0	0	Common_low
RXRA	6	4	1	Common_low
RXRB	1	1	0	Common_low
S100A13	2	2	0	Common_low
S100A14	2	2	0	Common_low
S100A16	2	2	0	Common_low
S100A2	2	2	0	Common_low
S100A3	2	2	0	Common_low
S1PR2	1	0	0	Common_low
SAMD10	1	0	0	Common_low
SAMD3	1	1	0	Common_low
SAMD5	0	0	1	Common_low
SAP30BP	3	0	0	Common_low
SAPCD1	1	0	1	Common_low
SARDH	0	1	1	Common_low
SASS6	1	0	0	Common_low
SAT2	5	1	1	Common_low
SBNO2	4	2	0	Common_low
SCPEP1	1	0	0	Common_low
SCRN1	15	17	24	High_and_Low
SCRN2	0	1	0	Common_low
SCRT1	8	7	0	Common_low
SCYL2	1	0	0	Common_low
SDF2L1	1	0	0	Common_low
SDF4	1	0	0	Common_low
SDHA	1	1	0	Common_low
SEC1	1	1	0	Common_low
SEC24A	1	0	0	Common_low
SELENOO	0	1	0	Common_low
SEMA3D	1	0	0	Common_low
SENP3	3	1	1	Common_low
SEPHS2	1	2	0	Common_low
SEPTIN1	1	2	0	Common_low
SEPTIN5	3	3	2	Common_low
SERPIND1	1	0	0	Common_low
SET	1	2	0	Common_low
SFMBT1	1	1	0	Common_low
SFXN3	0	0	2	Common_low
SGK2	1	1	0	Common_low
SGPL1	1	1	0	Common_low
SH3BP2	3	3	0	Common_low
SH3GL1	1	0	0	Common_low
SH3GLB2	1	2	0	Common_low
SHANK3	0	11	2	Common_low
SHARPIN	4	2	0	Common_low
SHBG	5	1	1	Common_low
SHD	2	0	0	Common_low
SI	1	1	0	Common_low
SIAH1	1	1	0	Common_low
SIRPB1	1	3	6	Common_low
SIRT1	2	2	1	Common_low
SIRT6	3	1	0	Common_low
SIRT7	2	4	0	Common_low
SIVA1	7	3	0	Common_low
SLBP	2	3	0	Common_low
SLC11A1	0	1	0	Common_low
SLC16A1	10	0	0	Common_low
SLC16A7	1	1	6	Common_low
SLC17A2	0	1	0	Common_low
SLC17A9	3	3	0	Common_low
SLC22A23	1	0	0	Common_low
SLC22A9	0	0	1	Common_low
SLC25A1	2	2	0	Common_low
SLC25A12	2	2	0	Common_low
SLC25A16	1	1	0	Common_low
SLC25A22	1	0	0	Common_low
SLC25A29	1	1	0	Common_low
SLC25A47	1	1	0	Common_low
SLC27A1	1	0	0	Common_low
SLC27A4	0	1	0	Common_low
SLC27A5	6	4	0	Common_low
SLC2A11	2	2	0	Common_low
SLC2A4	7	7	2	Common_low
SLC2A6	0	0	1	Common_low
SLC30A6	1	0	0	Common_low
SLC35A3	1	0	0	Common_low
SLC35E2	1	0	0	Common_low
SLC35G6	6	3	1	Common_low
SLC39A4	8	7	0	Common_low
SLC39A7	1	1	0	Common_low
SLC44A2	1	1	0	Common_low
SLC44A4	2	0	1	Common_low
SLC44A5	1	0	1	Common_low
SLC4A10	7	1	0	Common_low
SLC52A2	8	7	0	Common_low
SLC66A1	0	1	0	Common_low
SLC6A18	9	11	0	Common_low
SLC7A5	1	1	0	Common_low
SLC9A3R1	2	0	0	Common_low
SLC9A3R2	4	3	1	Common_low
SLCO4A1	1	0	0	Common_low
SLIT2	2	2	0	Common_low
SMG1	4	2	0	Common_low
SMIM13	0	1	0	Common_low
SMIM24	1	0	0	Common_low
SMPD4	1	0	0	Common_low
SND1	1	1	0	Common_low
SNRNP200	1	0	0	Common_low
SNRPA1	1	1	1	Common_low
SNU13	1	1	0	Common_low
SNX8	2	2	0	Common_low
SNX9	0	0	4	Common_low
SOAT1	18	18	18	Common_low
SOCS3	1	1	0	Common_low
SON	5	6	0	Common_low
SORCS1	0	0	3	Common_low
SORCS3	0	2	7	Common_low
SOX15	5	1	1	Common_low
SOX18	1	0	0	Common_low
SOX5	1	1	0	Common_low
SOX6	0	1	0	Common_low
SP2	0	1	0	Common_low
SPACA4	1	1	0	Common_low
SPAST	1	0	0	Common_low
SPATA2L	3	1	0	Common_low
SPCS1	10	10	0	Common_low
SPDEF	1	0	0	Common_low
SPEM1	5	5	1	Common_low
SPG7	3	2	0	Common_low
SPIB	0	1	0	Common_low
SPIRE2	3	0	0	Common_low
SPN	1	2	0	Common_low
SPOCK1	3	2	0	Common_low
SPSB3	5	8	1	Common_low
SPTAN1	0	2	0	Common_low
SREBF1	5	1	0	Common_low
SREBF2	1	1	0	Common_low
SRFBP1	0	0	1	Common_low
SRGAP1	1	1	0	Common_low
SRMS	5	5	0	Common_low
SRSF1	1	0	0	Common_low
SRSF2	1	2	0	Common_low
SRSF6	1	1	0	Common_low
SS18L2	0	7	0	Common_low
SSB	0	1	0	Common_low
SSH3	3	1	0	Common_low
SSNA1	2	2	1	Common_low
SSU72	1	0	0	Common_low
ST6GALNAC2	1	2	0	Common_low
ST6GALNAC4	2	0	0	Common_low
STAM	0	4	0	Common_low
STAP2	2	0	0	Common_low
STARD7	1	0	0	Common_low
STIP1	0	1	0	Common_low
STK39	17	17	21	High_and_Low
STMN3	5	5	0	Common_low
STRBP	0	1	0	Common_low
STUB1	2	2	0	Common_low
STXBP5	0	1	0	Common_low
STXBP5L	1	0	0	Common_low
STYX	3	3	0	Common_low
SUCLG2	0	0	1	Common_low
SUFU	0	0	1	Common_low
SUGCT	1	1	0	Common_low
SULT1B1	1	0	0	Common_low
SULT1E1	1	0	0	Common_low
SULT2B1	1	1	0	Common_low
SUMO2	2	2	0	Common_low
SURF4	1	0	2	Common_low
SURF6	1	1	2	Common_low
SUSD2	1	2	0	Common_low
SV2A	1	1	0	Common_low
SYDE2	2	2	0	Common_low
SYNGR2	2	3	0	Common_low
SYNGR3	4	3	1	Common_low
SYNGR4	1	1	0	Common_low
SYT1	0	0	2	Common_low
SYT5	1	1	0	Common_low
TACC3	2	3	0	Common_low
TADA2A	1	1	0	Common_low
TAF13	1	1	0	Common_low
TAF9	0	0	1	Common_low
TAFA5	10	1	0	Common_low
TALDO1	1	0	0	Common_low
TANC2	2	2	0	Common_low
TANGO2	4	6	0	Common_low
TAPBP	1	1	0	Common_low
TBATA	1	1	0	Common_low
TBC1D10B	1	2	0	Common_low
TBC1D10C	4	3	0	Common_low
TBC1D12	7	7	0	Common_low
TBC1D13	1	2	0	Common_low
TBC1D22A	3	0	0	Common_low
TBC1D5	3	0	0	Common_low
TBC1D7	6	3	0	Common_low
TBCE	0	1	1	Common_low
TBL2	1	1	0	Common_low
TBL3	4	3	1	Common_low
TC2N	1	1	0	Common_low
TCAIM	1	1	0	Common_low
TCEA1	4	3	0	Common_low
TCF19	2	1	1	Common_low
TCF3	3	0	0	Common_low
TCTA	1	1	0	Common_low
TDRD7	0	1	0	Common_low
TECR	1	1	0	Common_low
TECRL	25	34	0	High_and_Low
TEFM	1	1	0	Common_low
TEKT4	1	1	1	Common_low
TENM3	0	0	1	Common_low
TEPP	0	1	0	Common_low
TEPSIN	1	2	0	Common_low
TERT	2	2	0	Common_low
TESMIN	5	4	0	Common_low
TEX14	1	0	0	Common_low
TEX264	1	1	0	Common_low
TEX43	0	0	1	Common_low
TEX47	1	1	0	Common_low
TFCP2L1	0	1	0	Common_low
TFPI	2	1	0	Common_low
TFPI2	0	1	0	Common_low
TFPT	1	0	0	Common_low
TFR2	5	6	0	Common_low
THAP12	1	1	0	Common_low
THAP4	3	3	0	Common_low
THEMIS	3	3	0	Common_low
THOC6	1	1	0	Common_low
TIGAR	1	2	0	Common_low
TIMM23	0	1	0	Common_low
TIPRL	1	1	0	Common_low
TK1	2	3	0	Common_low
TLE5	1	0	0	Common_low
TLL1	2	3	1	Common_low
TM7SF3	0	1	0	Common_low
TMBIM1	0	1	0	Common_low
TMC4	3	3	0	Common_low
TMC6	2	2	0	Common_low
TMED2	2	0	0	Common_low
TMEM102	5	5	1	Common_low
TMEM104	2	0	0	Common_low
TMEM110	1	1	0	Common_low
TMEM114	0	1	0	Common_low
