name2	gene_list_1	gene_list_2	Common_Gene
MIR2317	1	1	Common_Low
MIR2345	0	2	Common_Low
MIR2346	8	8	Common_Low
MIR2347	2	4	Common_Low
MIR2348	2	2	Common_Low
MIR2353	19	18	Common_Low
MIR2360	1	1	Common_Low
MIR2361	3	3	Common_Low
MIR2376	1	1	Common_Low
MIR2382	2	2	Common_Low
MIR2385	0	1	Common_Low
MIR2389	2	2	Common_Low
MIR23B	1	1	Common_Low
MIR24-1	1	1	Common_Low
MIR2410	0	1	Common_Low
MIR2423	1	1	Common_Low
MIR2439	1	1	Common_Low
MIR2441	1	1	Common_Low
MIR2449	1	1	Common_Low
MIR2450A	2	0	Common_Low
MIR2450B	2	0	Common_Low
MIR2450C	2	0	Common_Low
MIR2450D	2	0	Common_Low
MIR2475	1	1	Common_Low
MIR2482	1	1	Common_Low
MIR26B	0	1	Common_Low
MIR27B	1	1	Common_Low
MIR2892	0	1	Common_Low
MIR2893	1	2	Common_Low
MIR296	1	1	Common_Low
MIR301B	1	0	Common_Low
MIR3065	2	1	Common_Low
MIR3141	0	8	Common_Low
MIR32	0	1	Common_Low
MIR324	2	2	Common_Low
MIR338	2	1	Common_Low
MIR339A	2	2	Common_Low
MIR33A	1	1	Common_Low
MIR33B	2	1	Common_Low
MIR345	1	1	Common_Low
MIR378D	1	1	Common_Low
MIR383	1	0	Common_Low
MIR429	1	1	Common_Low
MIR551A	1	2	Common_Low
MIR6123	1	1	Common_Low
MIR6501	0	1	Common_Low
MIR6517	2	1	Common_Low
MIR6531	3	2	Common_Low
MIR7859	1	1	Common_Low
MIR7865	1	1	Common_Low
MIR8549	2	2	Common_Low
MKLN1	2	1	Common_Low
MKX	0	1	Common_Low
MLPH	1	0	Common_Low
MLST8	2	2	Common_Low
MMACHC	2	2	Common_Low
MMP14	1	0	Common_Low
MMP15	0	1	Common_Low
MMP23	1	0	Common_Low
MOB2	1	1	Common_Low
MOSPD3	5	6	Common_Low
MPDU1	5	1	Common_Low
MPIG6B	1	0	Common_Low
MPV17L2	1	1	Common_Low
MRGBP	1	0	Common_Low
MRGPRF	2	0	Common_Low
MRM2	1	1	Common_Low
MROH1	5	4	Common_Low
MRPL10	0	1	Common_Low
MRPL12	1	1	Common_Low
MRPL15	4	3	Common_Low
MRPL20	1	0	Common_Low
MRPL4	1	0	Common_Low
MRPL58	2	2	Common_Low
MRPS2	1	1	Common_Low
MRPS34	5	8	Common_Low
MRPS36	1	0	Common_Low
MRTO4	0	1	Common_Low
MSH3	0	1	Common_Low
MSH4	1	1	Common_Low
MSH5	1	0	Common_Low
MSI2	1	1	Common_Low
MSMB	1	1	Common_Low
MSRB1	4	1	Common_Low
MSTN	1	0	Common_Low
MTA1	3	0	Common_Low
MTDH	0	1	Common_Low
MTURN	31	31	Common_High
MUS81	2	2	Common_Low
MUSTN1	1	1	Common_Low
MXD4	1	1	Common_Low
MXRA8	1	0	Common_Low
MYADML2	3	4	Common_Low
MYH9	1	1	Common_Low
MYLK2	1	0	Common_Low
MYLPF	1	2	Common_Low
MYO6	1	1	Common_Low
MZF1	7	6	Common_Low
MZT2B	1	0	Common_Low
N6AMT1	1	1	Common_Low
NADK	1	0	Common_Low
NAIF1	1	1	Common_Low
NAPRT	1	1	Common_Low
NASP	3	2	Common_Low
NAT14	2	2	Common_Low
NAT9	2	0	Common_Low
NCAPG	1	3	Common_Low
NCLN	1	0	Common_Low
NCOA4	2	4	Common_Low
NCR3	1	0	Common_Low
NDOR1	3	2	Common_Low
NDST4	4	4	Common_Low
NDUFA3	1	0	Common_Low
NDUFB10	4	1	Common_Low
NDUFS4	1	1	Common_Low
NDUFS7	3	2	Common_Low
NDUFV1	2	0	Common_Low
NDUFV2	4	4	Common_Low
NEGR1	1	1	Common_Low
NEK4	1	1	Common_Low
NEMF	2	1	Common_Low
NEU1	2	0	Common_Low
NEURL4	5	5	Common_Low
NF1	0	2	Common_Low
NFE2L1	2	1	Common_Low
NFIC	1	0	Common_Low
NFKBIL1	1	0	Common_Low
NICN1	1	1	Common_Low
NIPBL	1	1	Common_Low
NIT2	1	0	Common_Low
NLGN2	5	5	Common_Low
NLK	1	0	Common_Low
NLRC4	1	0	Common_Low
NME3	5	8	Common_Low
NOL10	1	1	Common_Low
NOL11	1	1	Common_Low
NOSTRIN	15	13	Common_Low
NOXA1	6	11	Common_Low
NPB	2	4	Common_Low
NPDC1	3	6	Common_Low
NPSR1	1	1	Common_Low
NPTN	2	2	Common_Low
NQO2	1	0	Common_Low
NR1H2	0	1	Common_Low
NRBF2	1	1	Common_Low
NRBP2	1	1	Common_Low
NRDE2	1	1	Common_Low
NRXN1	1	0	Common_Low
NSA2	0	1	Common_Low
NSG1	0	6	Common_Low
NT5C	3	4	Common_Low
NTHL1	4	3	Common_Low
NTN5	1	1	Common_Low
NTSR1	1	0	Common_Low
NUAK2	0	1	Common_Low
NUBP2	5	8	Common_Low
NUDT14	11	1	Common_Low
NUDT22	0	1	Common_Low
NUDT8	2	0	Common_Low
NUMA1	1	1	Common_Low
NUP155	1	1	Common_Low
NUP188	1	2	Common_Low
NUSAP1	1	0	Common_Low
NXPH1	2	2	Common_Low
ODF2	0	2	Common_Low
OGDH	2	1	Common_Low
OGFR	1	0	Common_Low
OIP5	1	0	Common_Low
OLFM3	1	1	Common_Low
OMG	1	1	Common_Low
OPALIN	1	0	Common_Low
OPLAH	3	1	Common_Low
OR12D2	2	0	Common_Low
OR12D2E	0	1	Common_Low
ORC5	2	2	Common_Low
OSBPL7	0	1	Common_Low
OTOP2	2	2	Common_Low
OTOP3	2	2	Common_Low
OVOL1	2	2	Common_Low
OXLD1	1	1	Common_Low
OXR1	0	1	Common_Low
P4HA1	1	1	Common_Low
P4HB	2	4	Common_Low
PACRG	1	1	Common_Low
PACSIN1	1	0	Common_Low
PAEP	5	5	Common_Low
PAFAH1B1	3	1	Common_Low
PAG19	1	1	Common_Low
PAGR1	0	1	Common_Low
PAK2	3	1	Common_Low
PAQR4	7	5	Common_Low
PARG	0	1	Common_Low
PARM1	1	1	Common_Low
PARN	1	1	Common_Low
PAX3	1	1	Common_Low
PAXX	6	6	Common_Low
PBRM1	9	9	Common_Low
PCBP4	1	1	Common_Low
PCDH18	1	1	Common_Low
PCDH20	1	0	Common_Low
PCDH7	1	3	Common_Low
PCDHA13	1	1	Common_Low
PCGF3	1	1	Common_Low
PCOLCE	6	6	Common_Low
PCYT2	2	4	Common_Low
PDCD1	9	9	Common_Low
PDCD6	1	1	Common_Low
PDE11A	1	0	Common_Low
PDE4C	1	0	Common_Low
PDIK1L	1	0	Common_Low
PDXK	1	0	Common_Low
PEBP1	3	0	Common_Low
PEX6	4	4	Common_Low
PFDN6	1	1	Common_Low
PGLS	1	0	Common_Low
PGP	2	2	Common_Low
PGS1	1	1	Common_Low
PHF23	3	3	Common_Low
PHF5A	1	1	Common_Low
PHOSPHO2	0	1	Common_Low
PHPT1	6	6	Common_Low
PHRF1	0	1	Common_Low
PHYHD1	1	2	Common_Low
PI4KA	1	0	Common_Low
PIAS4	5	1	Common_Low
PICALM	1	0	Common_Low
PIDD1	1	0	Common_Low
PIK3C2G	2	2	Common_Low
PIK3C3	0	1	Common_Low
PIK3R2	1	1	Common_Low
PILRA	1	1	Common_Low
PIP5KL1	2	2	Common_Low
PITHD1	0	1	Common_Low
PITPNM2	1	2	Common_Low
PJA2	0	1	Common_Low
PKDCC	1	1	Common_Low
PKN1	1	1	Common_Low
PKN2	4	4	Common_Low
PKN3	1	2	Common_Low
PKP1	0	2	Common_Low
PKP2	1	1	Common_Low
PLA2R1	4	1	Common_Low
PLCB3	0	1	Common_Low
PLCL2	2	2	Common_Low
PLEKHA8	34	37	Common_High
PLPPR2	2	1	Common_Low
PLSCR3	5	5	Common_Low
PLXDC2	4	4	Common_Low
PLXNB2	1	4	Common_Low
PMM1	1	1	Common_Low
PMPCA	4	5	Common_Low
PNISR	1	0	Common_Low
PNKD	0	2	Common_Low
PNPLA2	5	0	Common_Low
PNPO	0	1	Common_Low
POGZ	0	1	Common_Low
POLD1	0	1	Common_Low
POLD4	4	3	Common_Low
POLE2	2	1	Common_Low
POLK	1	1	Common_Low
POLL	1	1	Common_Low
POLR2A	6	3	Common_Low
POLR2E	3	1	Common_Low
POLR2K	6	0	Common_Low
POLR2L	5	0	Common_Low
POLR3A	1	1	Common_Low
POLR3GL	1	0	Common_Low
POLR3H	1	1	Common_Low
POP7	1	1	Common_Low
POU4F2	2	0	Common_Low
POU5F1	2	1	Common_Low
PPARA	3	0	Common_Low
PPDPF	5	4	Common_Low
PPIL2	1	0	Common_Low
PPIP5K2	0	2	Common_Low
PPM1B	1	0	Common_Low
PPP1CA	4	3	Common_Low
PPP1R13L	1	0	Common_Low
PPP1R16A	2	1	Common_Low
PPP1R27	2	4	Common_Low
PPP1R35	1	1	Common_Low
PPP1R9A	2	0	Common_Low
PPP2R5D	3	3	Common_Low
PPP3CA	2	2	Common_Low
PPP6R1	2	0	Common_Low
PPP6R3	6	5	Common_Low
PRAME	0	2	Common_Low
PRDX1	3	2	Common_Low
PRDX2	1	1	Common_Low
PRKAA1	2	1	Common_Low
PRKACA	0	1	Common_Low
PRKAR1A	1	3	Common_Low
PRKCSH	2	1	Common_Low
PRKN	2	1	Common_Low
PRMT1	2	2	Common_Low
PRMT5	2	1	Common_Low
PRODH	5	0	Common_Low
PROX1	1	1	Common_Low
PRPF31	1	0	Common_Low
PRPF6	1	0	Common_Low
PRPSAP1	2	2	Common_Low
PRR14	1	1	Common_Low
PRR15L	0	1	Common_Low
PRRC2A	1	0	Common_Low
PSMB11	4	1	Common_Low
PSMB4	0	1	Common_Low
PSMB5	4	1	Common_Low
PSMC1	1	1	Common_Low
PSMC6	3	3	Common_Low
PSORS1C2	3	1	Common_Low
PTBP1	2	0	Common_Low
PTBP2	0	2	Common_Low
PTCRA	4	4	Common_Low
PTGDS	7	6	Common_Low
PTGER1	1	1	Common_Low
PTGR2	1	1	Common_Low
PTK2	1	1	Common_Low
PTK6	5	5	Common_Low
PTPA	1	2	Common_Low
PTPN7	1	1	Common_Low
PTPRC	1	0	Common_Low
PTPRCAP	4	3	Common_Low
PTPRK	1	1	Common_Low
PUF60	4	4	Common_Low
PWWP2B	0	2	Common_Low
PWWP3A	1	2	Common_Low
PYCR1	3	4	Common_Low
PYCR3	2	2	Common_Low
PYGB	1	0	Common_Low
QPRT	1	2	Common_Low
QRFPR	1	1	Common_Low
QTRT1	1	1	Common_Low
R3HDM2	1	2	Common_Low
R3HDM4	1	0	Common_Low
RAB10	3	1	Common_Low
RAB26	3	3	Common_Low
RAB37	2	0	Common_Low
RAB3A	1	1	Common_Low
RAB3D	1	1	Common_Low
RAB40C	2	2	Common_Low
RAB6A	1	1	Common_Low
RABL6	6	7	Common_Low
RAC3	4	4	Common_Low
RAD18	2	3	Common_Low
RAD50	1	1	Common_Low
RAD9A	4	3	Common_Low
RALYL	5	6	Common_Low
RAN	0	1	Common_Low
RANBP1	4	6	Common_Low
RANGAP1	1	1	Common_Low
RAP1A	1	1	Common_Low
RAPGEF2	1	0	Common_Low
RASA1	1	1	Common_Low
RASGEF1C	2	2	Common_Low
RASSF4	1	0	Common_Low
RASSF7	0	1	Common_Low
RAVER1	2	0	Common_Low
RBL1	3	1	Common_Low
RBM14	1	1	Common_Low
RBM23	2	1	Common_Low
RDX	3	3	Common_Low
RECQL4	2	1	Common_Low
REEP6	3	1	Common_Low
REG3A	1	1	Common_Low
REG3G	1	0	Common_Low
REM2	2	1	Common_Low
RERGL	3	3	Common_Low
RFC5	6	6	Common_Low
RFX2	2	2	Common_Low
RGL2	1	1	Common_Low
RGL3	2	1	Common_Low
RGS17	0	1	Common_Low
RGS2	2	1	Common_Low
RGS9	1	0	Common_Low
RHOA	1	1	Common_Low
RHOT1	1	1	Common_Low
RHOT2	2	2	Common_Low
RICTOR	2	1	Common_Low
RING1	1	1	Common_Low
RIOK2	1	0	Common_Low
RIPK1	1	0	Common_Low
RLF	3	3	Common_Low
RMND5A	1	0	Common_Low
RNASEH2A	1	1	Common_Low
RNASEH2C	1	1	Common_Low
RNF103	1	1	Common_Low
RNF11	2	2	Common_Low
RNF121	1	1	Common_Low
RNF151	4	1	Common_Low
RNF157	3	3	Common_Low
RNF167	0	2	Common_Low
RNF168	1	1	Common_Low
RNF216	1	1	Common_Low
RNF4	2	0	Common_Low
RNPC3	1	1	Common_Low
RNPEP	1	0	Common_Low
RNPS1	1	1	Common_Low
ROBO1	5	1	Common_Low
RPL13	3	2	Common_Low
RPL18	1	1	Common_Low
RPL28	1	1	Common_Low
RPL29	1	1	Common_Low
RPL35A	2	1	Common_Low
RPL37	1	0	Common_Low
RPL3L	4	1	Common_Low
RPL7A	1	1	Common_Low
RPLP2	1	0	Common_Low
RPN1	4	3	Common_Low
RPS15	3	1	Common_Low
RPS18	1	1	Common_Low
RPS2	4	1	Common_Low
RPS5	2	1	Common_Low
RPS6KB2	4	3	Common_Low
RPS9	1	2	Common_Low
RRP36	0	1	Common_Low
RRP9	1	1	Common_Low
RSPH14	4	1	Common_Low
RSRC2	2	2	Common_Low
RTEL1	5	10	Common_Low
RUBCN	1	0	Common_Low
RXRA	6	4	Common_Low
RXRB	1	1	Common_Low
S100A13	2	2	Common_Low
S100A14	2	2	Common_Low
S100A16	2	2	Common_Low
S100A2	2	2	Common_Low
S100A3	2	2	Common_Low
S1PR2	1	0	Common_Low
SAMD10	1	0	Common_Low
SAMD3	1	1	Common_Low
SAP30BP	3	0	Common_Low
SAPCD1	1	0	Common_Low
SARDH	0	1	Common_Low
SASS6	1	0	Common_Low
SAT2	5	1	Common_Low
SBNO2	4	2	Common_Low
SCPEP1	1	0	Common_Low
SCRN1	15	17	Common_Low
SCRN2	0	1	Common_Low
SCRT1	8	7	Common_Low
SCYL2	1	0	Common_Low
SDF2L1	1	0	Common_Low
SDF4	1	0	Common_Low
SDHA	1	1	Common_Low
SEC1	1	1	Common_Low
SEC24A	1	0	Common_Low
SELENOO	0	1	Common_Low
SEMA3D	1	0	Common_Low
SENP3	3	1	Common_Low
SEPHS2	1	2	Common_Low
SEPTIN1	1	2	Common_Low
SEPTIN5	3	3	Common_Low
SERPIND1	1	0	Common_Low
SET	1	2	Common_Low
SFMBT1	1	1	Common_Low
SGK2	1	1	Common_Low
SGPL1	1	1	Common_Low
SH3BP2	3	3	Common_Low
SH3GL1	1	0	Common_Low
SH3GLB2	1	2	Common_Low
SHANK3	0	11	Common_Low
SHARPIN	4	2	Common_Low
SHBG	5	1	Common_Low
SHD	2	0	Common_Low
SI	1	1	Common_Low
SIAH1	1	1	Common_Low
SIRPB1	1	3	Common_Low
SIRT1	2	2	Common_Low
SIRT6	3	1	Common_Low
SIRT7	2	4	Common_Low
SIVA1	7	3	Common_Low
SLBP	2	3	Common_Low
SLC11A1	0	1	Common_Low
SLC16A1	10	0	Common_Low
SLC16A7	1	1	Common_Low
SLC17A2	0	1	Common_Low
SLC17A9	3	3	Common_Low
SLC22A23	1	0	Common_Low
SLC25A1	2	2	Common_Low
SLC25A12	2	2	Common_Low
SLC25A16	1	1	Common_Low
SLC25A22	1	0	Common_Low
SLC25A29	1	1	Common_Low
SLC25A47	1	1	Common_Low
SLC27A1	1	0	Common_Low
SLC27A4	0	1	Common_Low
SLC27A5	6	4	Common_Low
SLC2A11	2	2	Common_Low
SLC2A4	7	7	Common_Low
SLC30A6	1	0	Common_Low
SLC35A3	1	0	Common_Low
SLC35E2	1	0	Common_Low
SLC35G6	6	3	Common_Low
SLC39A4	8	7	Common_Low
SLC39A7	1	1	Common_Low
SLC44A2	1	1	Common_Low
SLC44A4	2	0	Common_Low
SLC44A5	1	0	Common_Low
SLC4A10	7	1	Common_Low
SLC52A2	8	7	Common_Low
SLC66A1	0	1	Common_Low
SLC6A18	9	11	Common_Low
SLC7A5	1	1	Common_Low
SLC9A3R1	2	0	Common_Low
SLC9A3R2	4	3	Common_Low
SLCO4A1	1	0	Common_Low
SLIT2	2	2	Common_Low
SMG1	4	2	Common_Low
SMIM13	0	1	Common_Low
SMIM24	1	0	Common_Low
SMPD4	1	0	Common_Low
SND1	1	1	Common_Low
SNRNP200	1	0	Common_Low
SNRPA1	1	1	Common_Low
SNU13	1	1	Common_Low
SNX8	2	2	Common_Low
SOAT1	18	18	Common_Low
SOCS3	1	1	Common_Low
SON	5	6	Common_Low
SORCS3	0	2	Common_Low
SOX15	5	1	Common_Low
SOX18	1	0	Common_Low
SOX5	1	1	Common_Low
SOX6	0	1	Common_Low
SP2	0	1	Common_Low
SPACA4	1	1	Common_Low
SPAST	1	0	Common_Low
SPATA2L	3	1	Common_Low
SPCS1	10	10	Common_Low
SPDEF	1	0	Common_Low
SPEM1	5	5	Common_Low
SPG7	3	2	Common_Low
SPIB	0	1	Common_Low
SPIRE2	3	0	Common_Low
SPN	1	2	Common_Low
SPOCK1	3	2	Common_Low
SPSB3	5	8	Common_Low
SPTAN1	0	2	Common_Low
SREBF1	5	1	Common_Low
SREBF2	1	1	Common_Low
SRGAP1	1	1	Common_Low
SRMS	5	5	Common_Low
SRSF1	1	0	Common_Low
SRSF2	1	2	Common_Low
SRSF6	1	1	Common_Low
SS18L2	0	7	Common_Low
SSB	0	1	Common_Low
SSH3	3	1	Common_Low
SSNA1	2	2	Common_Low
SSU72	1	0	Common_Low
ST6GALNAC2	1	2	Common_Low
ST6GALNAC4	2	0	Common_Low
STAM	0	4	Common_Low
STAP2	2	0	Common_Low
STARD7	1	0	Common_Low
STIP1	0	1	Common_Low
STK39	17	17	Common_Low
STMN3	5	5	Common_Low
STRBP	0	1	Common_Low
STUB1	2	2	Common_Low
STXBP5	0	1	Common_Low
STXBP5L	1	0	Common_Low
STYX	3	3	Common_Low
SUGCT	1	1	Common_Low
SULT1B1	1	0	Common_Low
SULT1E1	1	0	Common_Low
SULT2B1	1	1	Common_Low
SUMO2	2	2	Common_Low
SURF4	1	0	Common_Low
SURF6	1	1	Common_Low
SUSD2	1	2	Common_Low
SV2A	1	1	Common_Low
SYDE2	2	2	Common_Low
SYNGR2	2	3	Common_Low
SYNGR3	4	3	Common_Low
SYNGR4	1	1	Common_Low
SYT5	1	1	Common_Low
TACC3	2	3	Common_Low
TADA2A	1	1	Common_Low
TAF13	1	1	Common_Low
TAFA5	10	1	Common_Low
TALDO1	1	0	Common_Low
TANC2	2	2	Common_Low
TANGO2	4	6	Common_Low
TAPBP	1	1	Common_Low
TBATA	1	1	Common_Low
TBC1D10B	1	2	Common_Low
TBC1D10C	4	3	Common_Low
TBC1D12	7	7	Common_Low
TBC1D13	1	2	Common_Low
TBC1D22A	3	0	Common_Low
TBC1D5	3	0	Common_Low
TBC1D7	6	3	Common_Low
TBCE	0	1	Common_Low
TBL2	1	1	Common_Low
TBL3	4	3	Common_Low
TC2N	1	1	Common_Low
TCAIM	1	1	Common_Low
TCEA1	4	3	Common_Low
TCF19	2	1	Common_Low
TCF3	3	0	Common_Low
TCTA	1	1	Common_Low
TDRD7	0	1	Common_Low
TECR	1	1	Common_Low
TECRL	25	34	Common_High
TEFM	1	1	Common_Low
TEKT4	1	1	Common_Low
TEPP	0	1	Common_Low
TEPSIN	1	2	Common_Low
TERT	2	2	Common_Low
TESMIN	5	4	Common_Low
TEX14	1	0	Common_Low
TEX264	1	1	Common_Low
TEX47	1	1	Common_Low
TFCP2L1	0	1	Common_Low
TFPI	2	1	Common_Low
TFPI2	0	1	Common_Low
TFPT	1	0	Common_Low
TFR2	5	6	Common_Low
THAP12	1	1	Common_Low
THAP4	3	3	Common_Low
THEMIS	3	3	Common_Low
THOC6	1	1	Common_Low
TIGAR	1	2	Common_Low
TIMM23	0	1	Common_Low
TIPRL	1	1	Common_Low
TK1	2	3	Common_Low
TLE5	1	0	Common_Low
TLL1	2	3	Common_Low
TM7SF3	0	1	Common_Low
TMBIM1	0	1	Common_Low
TMC4	3	3	Common_Low
TMC6	2	2	Common_Low
TMED2	2	0	Common_Low
TMEM102	5	5	Common_Low
TMEM104	2	0	Common_Low
TMEM110	1	1	Common_Low
TMEM114	0	1	Common_Low
TMEM116	1	0	Common_Low
TMEM127	1	0	Common_Low
TMEM129	2	3	Common_Low
TMEM134	2	1	Common_Low
TMEM141	2	2	Common_Low
TMEM143	1	1	Common_Low
TMEM150B	1	1	Common_Low
TMEM190	1	1	Common_Low
TMEM204	4	4	Common_Low
TMEM205	1	1	Common_Low
TMEM240	1	0	Common_Low
TMEM256	5	5	Common_Low
TMEM50B	0	1	Common_Low
TMEM69	3	0	Common_Low
TMEM80	1	1	Common_Low
TMEM86B	1	1	Common_Low
TMEM88B	1	0	Common_Low
TMEM95	5	5	Common_Low
TMF1	1	1	Common_Low
TMOD1	0	1	Common_Low
TNF	1	0	Common_Low
TNFRSF12A	2	2	Common_Low
TNFRSF13C	1	2	Common_Low
TNFRSF18	1	0	Common_Low
TNFRSF4	1	0	Common_Low
TNFRSF6B	5	5	Common_Low
TNFSF12	3	1	Common_Low
TNFSF13	3	1	Common_Low
TNFSF13B	0	2	Common_Low
TNIP2	0	3	Common_Low
TNN	1	1	Common_Low
TNNI3	1	1	Common_Low
TNNT1	1	1	Common_Low
TOB2	1	1	Common_Low
TOM1L2	5	1	Common_Low
TONSL	8	7	Common_Low
TOPAZ1	1	1	Common_Low
TOX	1	1	Common_Low
TP53	5	1	Common_Low
TPCN2	2	0	Common_Low
TPD52L2	4	4	Common_Low
TPRG1L	0	1	Common_Low
TPRN	2	2	Common_Low
TPSB2	3	3	Common_Low
TPST2	1	0	Common_Low
TPT1	0	3	Common_Low
TRAF7	3	3	Common_Low
TRIM28	6	4	Common_Low
TRIM33	1	1	Common_Low
TRIM38	2	1	Common_Low
TRMT13	1	0	Common_Low
TRPC2	1	1	Common_Low
TRPS1	2	1	Common_Low
TRPT1	0	2	Common_Low
TSC22D4	3	3	Common_Low
TSEN34	3	3	Common_Low
TSEN54	1	0	Common_Low
TSKS	2	2	Common_Low
TSPAN3	0	1	Common_Low
TSPAN4	5	0	Common_Low
TSPO	1	1	Common_Low
TSR3	4	4	Common_Low
TSSK1B	2	2	Common_Low
TSTA3	2	2	Common_Low
TTC29	2	0	Common_Low
TTC33	2	1	Common_Low
TTI1	1	1	Common_Low
TTLL9	1	0	Common_Low
TUBB1	1	1	Common_Low
TUBB2B	3	2	Common_Low
TUBB4B	3	2	Common_Low
TUSC3	1	2	Common_Low
TWSG1	2	2	Common_Low
TXNIP	1	0	Common_Low
TXNRD2	3	3	Common_Low
TYK2	2	0	Common_Low
U2AF2	1	1	Common_Low
UBA3	1	1	Common_Low
UBE2D3	0	1	Common_Low
UBE2G1	1	1	Common_Low
UBE2I	4	4	Common_Low
UBE2J2	1	0	Common_Low
UBE2L3	1	0	Common_Low
UBE2M	7	6	Common_Low
UBE2S	1	1	Common_Low
UBR4	0	1	Common_Low
UFD1	3	3	Common_Low
UFL1	0	1	Common_Low
UGT2A1	1	0	Common_Low
UHRF1BP1L	1	0	Common_Low
UHRF2	1	1	Common_Low
UIMC1	2	0	Common_Low
UNC13C	5	5	Common_Low
UNCX	2	2	Common_Low
UPK2	1	1	Common_Low
UQCR11	3	0	Common_Low
URM1	0	1	Common_Low
USB1	0	1	Common_Low
USH1G	2	2	Common_Low
USP15	6	7	Common_Low
USP37	0	1	Common_Low
USP45	1	0	Common_Low
USP6NL	2	2	Common_Low
USP8	0	1	Common_Low
VAMP2	0	2	Common_Low
VEGFB	0	1	Common_Low
VEZF1	1	1	Common_Low
VIL1	0	1	Common_Low
VPS28	8	7	Common_Low
VPS37B	2	3	Common_Low
VPS50	1	0	Common_Low
VPS52	1	1	Common_Low
VPS54	2	4	Common_Low
VSTM2A	3	3	Common_Low
VSTM2L	1	1	Common_Low
VTA1	1	0	Common_Low
VWA1	1	0	Common_Low
VWA7	1	0	Common_Low
WARS	1	0	Common_Low
WARS1	0	1	Common_Low
WASHC1	1	1	Common_Low
WC-7	10	0	Common_Low
WC1	1	0	Common_Low
WC1-8	1	0	Common_Low
WC1.3	1	0	Common_Low
WDR18	1	1	Common_Low
WDR24	2	2	Common_Low
WDR26	1	1	Common_Low
WDR34	1	0	Common_Low
WDR46	1	1	Common_Low
WDR70	1	1	Common_Low
WFDC18	1	1	Common_Low
WFIKKN1	2	2	Common_Low
WIPI1	2	1	Common_Low
WRAP53	5	1	Common_Low
WRAP73	0	1	Common_Low
WRN	0	1	Common_Low
WSB2	6	6	Common_Low
WWOX	2	1	Common_Low
XBP1	4	0	Common_Low
XNDC1	0	1	Common_Low
XRCC6	1	1	Common_Low
XRN2	2	2	Common_Low
YBX2	7	7	Common_Low
YDJC	1	0	Common_Low
YJU2	3	1	Common_Low
YTHDC1	0	2	Common_Low
YTHDF1	5	4	Common_Low
YY1	1	1	Common_Low
ZACN	2	2	Common_Low
ZBTB4	6	3	Common_Low
ZBTB46	5	5	Common_Low
ZBTB7A	5	1	Common_Low
ZC3H15	5	0	Common_Low
ZC3H7B	1	1	Common_Low
ZCCHC8	2	2	Common_Low
ZCWPW1	1	1	Common_Low
ZEB1	1	1	Common_Low
ZER1	1	2	Common_Low
ZFAND2A	1	1	Common_Low
ZFP2	1	1	Common_Low
ZGPAT	5	5	Common_Low
ZMIZ2	2	1	Common_Low
ZNF177	0	2	Common_Low
ZNF280B	1	0	Common_Low
ZNF410	2	2	Common_Low
ZNF428	3	2	Common_Low
ZNF432	0	1	Common_Low
ZNF48	1	2	Common_Low
ZNF524	2	3	Common_Low
ZNF576	3	2	Common_Low
ZNF628	2	2	Common_Low
ZNF644	4	4	Common_Low
ZNF688	1	1	Common_Low
ZNF689	1	1	Common_Low
ZNF74	2	2	Common_Low
ZNF771	1	2	Common_Low
ZNF774	1	2	Common_Low
ZNF784	2	3	Common_Low
ZNF8	2	0	Common_Low
ZNF804B	36	33	Common_High
ZPBP	3	5	Common_Low
